mpid,e_form (eV/atom),composition
mp-1173034,-4.612092007715515,La2O19Th8
mp-1100894,-4.594055063577584,O19Th8Y2
mp-676629,-4.5763146616810335,O19Sm2Th8
mp-31034,-4.522663942618666,F4Th1
mp-905,-4.510552682559166,F3La1
mp-9371,-4.492670135892499,Er1F3
mp-11347,-4.490365587975833,F3Tb1
mp-865934,-4.489659124126667,F2Yb1
mp-561877,-4.4878043927675,F3Ho1
mp-7384,-4.468397810267501,F3Sm1
mp-675492,-4.454280175444782,F17La5Sr1
mp-7693,-4.451874308138182,Ba1F8Tm2
mp-1212889,-4.450874065059167,Dy1F3
mp-2416,-4.4489910365175005,F3Y1
mp-1214962,-4.447780356320001,Ba1F8Lu2
mp-12803,-4.440871290865456,Ba1Er2F8
mp-254,-4.440404155684167,F3Nd1
mp-27185,-4.438572903523437,F25K1Th6
mp-985278,-4.435178283809166,Ac1F3
mp-2651,-4.4326943933925005,F3Pr1
mp-1210818,-4.423658243809166,F3Lu1
mp-17673,-4.422380568094999,F5Lu3O2
mp-768240,-4.4063229245018185,Ba1F8Y2
mp-560114,-4.403850378095,Er3F5O2
mp-1228137,-4.395428809599999,Ba1Ca1F10Lu2
mp-35769,-4.392195915009583,F17Lu3Sr4
mp-1223016,-4.3870733121425,Ce1F6La1
mp-643,-4.386847087499999,O2Th1
mp-752674,-4.375687944539334,Ba1F11Y3
mp-555463,-4.371134864459696,F13Rb1Th3
mp-752675,-4.362927215135715,Ba1F5Y1
mp-1210775,-4.360465934980001,F1Lu1O1
mp-675681,-4.359008006467916,Ba4Er3F17
mp-1211388,-4.3574413881477785,F7Hf1La1
mp-1207669,-4.350911376646667,F1O1Tm1
mp-1218554,-4.3445505967488645,F30O1Sr7Y6
mp-1173137,-4.3443958421425,F6Sr1Th1
mp-34578,-4.343291661051251,Ba4F17Y3
mp-1226963,-4.342808297037606,Cs1F13Lu4
mp-531687,-4.340636648560725,F17Nd6
mp-760080,-4.3404049275,Ce1O20Th9
mp-558186,-4.33994689587463,F10Lu3Rb1
mp-1213386,-4.339672159329064,Cs1F10Lu3
mp-35986,-4.33770598011375,Ba4F17Nd3
mp-1211423,-4.3350395049928565,F10K1Lu3
mp-18451,-4.326941471421429,Er3F10K1
mp-1211478,-4.323765142492857,F10Ho3K1
mp-1197527,-4.322245393916102,Be1F45Na3Th10
mp-510560,-4.321284442559167,Ce1F3
mp-1211612,-4.320172958564286,Dy3F10K1
mp-555932,-4.319960170874632,Er3F10Rb1
mp-1211350,-4.319544839475833,F9K1Th2
mp-10694,-4.319137289642501,F3Sc1
mp-17838,-4.317355828564287,F10K1Tb3
mp-752420,-4.313801504369412,Ba3F12Y2
mp-1209091,-4.313310168374631,F10Rb1Tb3
mp-778072,-4.3124991751003865,Ba2F19Y5
mp-1196714,-4.309327388421235,F9Rb1Th2
mp-532089,-4.309285682193029,Ca20Er10F69
mp-1208339,-4.3084318089544,F19O1Th5
mp-777744,-4.308428654333,Ba2F7Y1
mp-1072193,-4.307308780813334,Er1F1O1
mp-1072114,-4.301339545813334,F1Ho1O1
mp-1195979,-4.299381218703549,F24O1Th6
mp-766345,-4.297783435208125,F7O4Y5
mp-1211227,-4.296979149863572,F11Hf2La1
mp-1226577,-4.294418920166667,Ce1O10Th4
mp-1072208,-4.292754764146667,Dy1F1O1
mp-1200327,-4.291512271204118,F13Na1Th3
mp-1216371,-4.289997157672103,F8O5Y6
mp-2943,-4.28588885035,F10K1Y3
mp-14093,-4.284819435257778,F1O1Tb1
mp-29063,-4.2848152694519985,F8Th1Zr1
mp-1216198,-4.284490724009545,F9O6Y7
mp-1209116,-4.281313727481774,F10Rb1Sm3
mp-1209873,-4.278062982542143,F11Hf2Nd1
mp-1209557,-4.275449561292144,F11Hf2Pr1
mp-14926,-4.2726478808329995,F7Sc1Sr2
mp-7100,-4.27237837248,F1La1O1
mp-1226598,-4.272017325,Ce1O8Th3
mp-531213,-4.27089164812371,Ca13F43Y6
mp-3269,-4.270398324225833,F9Na1Th2
mp-676459,-4.267738116833,Ca2F7La1
mp-1211385,-4.2672379048144435,F7La1Zr1
mp-676264,-4.261661207833333,O20Th9Y1
mp-676552,-4.260200727198275,Nd2O19Th8
mp-676564,-4.25760458875,Nd1O20Th9
mp-1211506,-4.255384656383,F7K1Tm2
mp-981,-4.252951134126667,F2Sr1
mp-18506,-4.2513970773144445,F7Sm1Zr1
mp-558238,-4.249498745258,Er2F7K1
mp-3637,-4.247829589146666,F1O1Y1
mp-2741,-4.244310763293333,Ca1F2
mp-1213799,-4.2436556791492865,Ce1F11Hf2
mp-31030,-4.243053495132999,F7Ho2K1
mp-778387,-4.240667326392963,Ba5F19Y3
mp-1211771,-4.2402229866329995,Dy2F7K1
mp-1209289,-4.239907858017488,F10Gd3Rb1
mp-675834,-4.239582380845,F5La3O2
mp-1211521,-4.238449035049666,F7K1Tb2
mp-862901,-4.2381267540175,F3Pm1
mp-1223007,-4.2378305485544,F19La1O1Th4
mp-676002,-4.237099130333,Ba2F7Pr1
mp-675758,-4.2352812018330015,F7La1Sr2
mp-752798,-4.234122286388889,Ce1O6Th2
mp-1209283,-4.233531784814445,F7Pr1Zr1
mp-1214420,-4.2330948727675,Ba1F6Hf1
mp-757205,-4.2304724858125,O13Th5Y2
mp-756142,-4.230193022312503,La2O13Th5
mp-720432,-4.2247138578608485,Ca9F41Ho1Na2Nd1Y5
mp-1216536,-4.224611099166666,O4Pa1Tm1
mp-1222263,-4.2225717325,Lu1O4Pa1
mp-676893,-4.222483792604706,Ca4F12Th1
mp-9488,-4.220855821646667,F1O1Sm1
mp-1225447,-4.216309149999998,Er1O4Pa1
mp-1223799,-4.2124782399999985,Ho1O4Pa1
mp-1211492,-4.209422645383,F7K1Y2
mp-777258,-4.208221950823846,Ba3F9Y1
mp-753721,-4.207433577480001,F1Gd1O1
mp-1225510,-4.207196237500002,Dy1O4Pa1
mp-675426,-4.2043949373623075,Ba3F9Pr1
mp-1173104,-4.203549190555556,O4Pa1Tb1
mp-766253,-4.200817630833335,La2O26Th11
mp-29062,-4.199611939285334,F12Th1Zr2
mp-1192580,-4.194363516649285,F11La1Zr2
mp-766570,-4.191172451785714,Ce3O14Th4
mp-22724,-4.190457339258889,Ce1F7Zr1
mp-675896,-4.188372025916334,Ca2F7Nd1
mp-1100867,-4.186251858333332,O4Pa1Y1
mp-5900,-4.1825986142745455,Ba2F8Zr1
mp-673801,-4.182297836977692,Ca3F9Nd1
mp-1214503,-4.182107882635714,Ba3F10Zr1
mp-1029,-4.18138769746,Ba1F2
mp-675846,-4.1811655652079995,Ca5F14Th1
mp-29085,-4.180150062372666,F22Sr5Zr3
mp-5634,-4.177859281646668,F1Nd1O1
mp-36526,-4.176039798035556,Ac1F1O1
mp-1209872,-4.174152350399285,F11Nd1Zr2
mp-554610,-4.171601991292143,F11Pr1Zr2
mp-1025456,-4.1685304805799985,Ca1F6Zr1
mp-673677,-4.16620034580357,La2O9Th3
mp-531110,-4.164239971043333,Ca9F20Pr1
mp-1173297,-4.161680476249999,O4Pa1Sm1
mp-1215594,-4.1614875502675,F12Gd3Yb1
mp-37014,-4.1605417816666685,Gd1O4Pa1
mp-36734,-4.159030469166666,Ce1O4Th1
mp-1208602,-4.157532779642501,F6Sr1Zr1
mp-1203446,-4.156578086789334,Ca5F22Zr3
mp-1222782,-4.1543141358333315,La1O4Pa1
mp-1173352,-4.1524774220833365,O4Pa1Pm1
mp-8232,-4.1512544421425,Ba1F6Zr1
mp-31033,-4.1502561232853346,F4Hf1
mp-769173,-4.149095124146667,F1O1Pr1
mp-675813,-4.147419801160715,O9Sm2Th3
mp-1196169,-4.145836651742856,F5Li1Th1
mp-4661,-4.144176054979998,F1O1Sc1
mp-756428,-4.1439418581666665,La1O10Th4
mp-865194,-4.143477059642501,F3Tm1
mp-531792,-4.1427890160710525,F15Lu1Zr3
mp-675778,-4.141993568833,F7Na1Y2
mp-1221381,-4.141589537936154,F29Na3Th6Zn1
mp-1213767,-4.140477275577857,Ce1F11Zr2
mp-29978,-4.139045273436522,Al2F16Sr5
mp-1427,-4.138510385500001,Lu2O3
mp-772510,-4.138277219499999,O10Th4Y1
mp-752473,-4.136365133666667,O10Sm1Th4
mp-676867,-4.135481697999667,Ca2F7Ho1
mp-530429,-4.133962907649999,F15Y1Zr3
mp-1209866,-4.132358644755263,F15Nd1Zr3
mp-754176,-4.132355286102942,Ce3O11Th3
mp-531991,-4.130390098539837,F47La6Zr8
mp-972965,-4.1293460721425,F3Gd1
